id,product_id,warehouse_id,stock,priority
1,448,1,0,0
2,448,2,0,0
3,800,1,0,0
4,800,2,0,0
5,801,1,0,0
6,801,2,0,0
7,802,1,0,0
8,802,2,0,0
9,804,1,0,0
10,804,2,0,0
11,805,1,0,0
12,805,2,0,0
13,806,1,0,0
14,806,2,0,0
15,807,1,0,0
16,807,2,0,0
17,852,1,0,0
18,852,2,0,0
19,853,1,0,0
20,853,2,0,0
21,854,1,0,0
22,854,2,0,0
23,864,1,0,0
24,864,2,0,0
25,865,1,0,0
26,865,2,0,0
27,866,1,0,0
28,866,2,0,0
29,867,1,0,0
30,867,2,0,0
31,868,1,0,0
32,868,2,0,0
33,869,1,0,0
34,869,2,0,0
35,870,1,0,0
36,870,2,0,0
37,871,1,0,0
38,871,2,0,0
39,872,1,0,0
40,872,2,0,0
41,873,1,0,0
42,873,2,0,0
43,874,1,0,0
44,874,2,0,0
45,875,1,0,0
46,875,2,0,0
47,878,1,0,0
48,878,2,0,0
49,879,1,0,0
50,879,2,0,0
51,880,1,0,0
52,880,2,0,0
53,881,1,0,0
54,881,2,0,0
55,882,1,0,0
56,882,2,0,0
57,883,1,0,0
58,883,2,0,0
59,889,1,0,0
60,889,2,0,0
61,890,1,0,0
62,890,2,0,0
63,891,1,0,0
64,891,2,0,0
65,892,1,0,0
66,892,2,0,0
67,893,1,0,0
68,893,2,0,0
69,894,1,0,0
70,894,2,0,0
71,895,1,0,0
72,895,2,0,0
73,896,1,0,0
74,896,2,0,0
75,897,1,0,0
76,897,2,0,0
77,898,1,0,0
78,898,2,0,0
79,899,1,0,0
80,899,2,0,0
81,900,1,0,0
82,900,2,0,0
83,901,1,0,0
84,901,2,0,0
85,902,1,0,0
86,902,2,0,0
87,903,1,0,0
88,903,2,0,0
89,904,1,0,0
90,904,2,0,0
91,905,1,0,0
92,905,2,0,0
93,906,1,0,0
94,906,2,0,0
95,907,1,0,0
96,907,2,0,0
97,959,1,0,0
98,959,2,0,0
99,960,1,0,0
100,960,2,0,0
101,961,1,0,0
102,961,2,0,0
103,962,1,0,0
104,962,2,0,0
105,963,1,0,0
106,963,2,0,0
107,964,1,0,0
108,964,2,0,0
109,965,1,0,0
110,965,2,0,0
111,966,1,0,0
112,966,2,0,0
113,967,1,0,0
114,967,2,0,0
115,968,1,0,0
116,968,2,0,0
117,969,1,0,0
118,969,2,0,0
119,970,1,0,0
120,970,2,0,0
121,971,1,0,0
122,971,2,0,0
123,972,1,0,0
124,972,2,0,0
125,973,1,0,0
126,973,2,0,0
127,1149,1,0,0
128,1149,2,0,0
129,1150,1,0,0
130,1150,2,0,0
131,1151,1,0,0
132,1151,2,0,0
133,1182,1,0,0
134,1182,2,0,0
135,1183,1,0,0
136,1183,2,0,0
137,1184,1,0,0
138,1184,2,0,0
139,1185,1,0,0
140,1185,2,0,0
141,2508,1,8,1
142,2508,2,10,2
143,2268,1,50,0
144,2268,2,10,0
